#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2023-10-21T15:02:57.398-04:00","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2023-10-21T15:02:59.862-04:00","TRACKPOINT",40.73922,-74.28621,43.159729,16,,1.44,,,,,,
"2023-10-21T15:03:00.847-04:00","TRACKPOINT",40.739042,-74.286164,115.152588,11,,2.12,,,,,,
"2023-10-21T15:03:10.161-04:00","TRACKPOINT",40.739037,-74.286247,119.450256,5,,3.17,,,,,,
"2023-10-21T15:03:10.856-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:03:30.156-04:00","TRACKPOINT",40.739011,-74.286362,122.62262,8,,4.18,,,,,,
"2023-10-21T15:03:37.158-04:00","TRACKPOINT",40.738997,-74.286489,118.408997,7,,3.6,,,,,,
"2023-10-21T15:03:46.161-04:00","TRACKPOINT",40.738996,-74.286616,118.304932,6,,4.28,,,,,,
"2023-10-21T15:03:55.161-04:00","TRACKPOINT",40.739044,-74.286723,121.916931,6,,3.92,,,,,,
"2023-10-21T15:04:05.162-04:00","TRACKPOINT",40.739098,-74.286817,124.956787,5,,2.74,,,,,,
"2023-10-21T15:04:05.186-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:04:22.16-04:00","TRACKPOINT",40.739155,-74.286927,126.671082,11,,3.24,,,,,,
"2023-10-21T15:04:32.157-04:00","TRACKPOINT",40.739197,-74.28705,125.719543,10,,3.24,,,,,,
"2023-10-21T15:04:39.158-04:00","TRACKPOINT",40.739251,-74.287151,126.356628,10,,4.14,,,,,,
"2023-10-21T15:04:45.16-04:00","TRACKPOINT",40.739298,-74.287271,126.451538,11,,4.21,,,,,,
"2023-10-21T15:04:53.16-04:00","TRACKPOINT",40.739338,-74.287392,126.905029,11,,4.36,,,,,,
"2023-10-21T15:05:00.16-04:00","TRACKPOINT",40.739334,-74.287519,129.828491,10,,4.82,,,,,,
"2023-10-21T15:05:10.166-04:00","TRACKPOINT",40.739313,-74.28765,133.039795,10,,3.78,,,,,,
"2023-10-21T15:05:17.156-04:00","TRACKPOINT",40.739333,-74.287778,132.435547,10,,4.79,,,,,,
"2023-10-21T15:05:23.161-04:00","TRACKPOINT",40.739395,-74.287865,131.568176,10,,3.1,,,,,,
"2023-10-21T15:05:33.16-04:00","TRACKPOINT",40.73938,-74.287995,129.605591,10,,5.22,,,,,,
"2023-10-21T15:05:40.161-04:00","TRACKPOINT",40.739369,-74.288115,132.157715,10,,5.72,,,,,,
"2023-10-21T15:05:46.169-04:00","TRACKPOINT",40.739297,-74.288211,137.813965,10,,6.88,,,,,,
"2023-10-21T15:05:56.172-04:00","TRACKPOINT",40.739226,-74.288234,132.424072,10,,0,,,,,,
"2023-10-21T15:05:56.185-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:06:04.164-04:00","TRACKPOINT",40.739162,-74.28834,130.907104,10,,5.83,,,,,,
"2023-10-21T15:06:10.159-04:00","TRACKPOINT",40.739063,-74.288348,135.305603,10,,5,,,,,,
"2023-10-21T15:06:18.162-04:00","TRACKPOINT",40.738964,-74.288357,135.847473,10,,5.04,,,,,,
"2023-10-21T15:06:24.161-04:00","TRACKPOINT",40.738877,-74.288397,138.999084,10,,4.57,,,,,,
"2023-10-21T15:06:31.157-04:00","TRACKPOINT",40.738781,-74.28842,141.679321,10,,5.36,,,,,,
"2023-10-21T15:06:39.159-04:00","TRACKPOINT",40.738687,-74.288457,142.277344,10,,5.29,,,,,,
"2023-10-21T15:06:49.165-04:00","TRACKPOINT",40.73859,-74.288459,145.54071,10,,4.28,,,,,,
"2023-10-21T15:06:57.16-04:00","TRACKPOINT",40.738497,-74.288494,143.35498,11,,4.18,,,,,,
"2023-10-21T15:07:04.16-04:00","TRACKPOINT",40.738404,-74.288488,144.606689,10,,4.72,,,,,,
"2023-10-21T15:07:13.164-04:00","TRACKPOINT",40.738316,-74.288538,144.46875,10,,4.39,,,,,,
"2023-10-21T15:07:22.163-04:00","TRACKPOINT",40.738235,-74.288595,145.70874,10,,4.14,,,,,,
"2023-10-21T15:07:31.158-04:00","TRACKPOINT",40.738171,-74.288701,143.981445,10,,5.29,,,,,,
"2023-10-21T15:07:40.158-04:00","TRACKPOINT",40.738094,-74.288791,143.195801,10,,4.75,,,,,,
"2023-10-21T15:07:48.165-04:00","TRACKPOINT",40.738001,-74.288829,144.527771,10,,4.28,,,,,,
"2023-10-21T15:07:58.157-04:00","TRACKPOINT",40.737919,-74.288899,144.775757,10,,4.64,,,,,,
"2023-10-21T15:08:05.162-04:00","TRACKPOINT",40.737853,-74.288984,147.16626,10,,4.28,,,,,,
"2023-10-21T15:08:12.156-04:00","TRACKPOINT",40.737768,-74.289055,151.753784,10,,4.14,,,,,,
"2023-10-21T15:08:22.152-04:00","TRACKPOINT",40.737718,-74.289098,148.813599,10,,3.31,,,,,,
"2023-10-21T15:08:22.17-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:08:30.16-04:00","TRACKPOINT",40.737656,-74.289204,147.512451,10,,4.86,,,,,,
"2023-10-21T15:08:38.162-04:00","TRACKPOINT",40.737588,-74.289283,150.96167,10,,4.93,,,,,,
"2023-10-21T15:08:45.159-04:00","TRACKPOINT",40.737523,-74.289378,151.003967,10,,6.26,,,,,,
"2023-10-21T15:08:53.16-04:00","TRACKPOINT",40.737463,-74.289473,151.474365,10,,5.33,,,,,,
"2023-10-21T15:09:00.16-04:00","TRACKPOINT",40.73739,-74.289554,152.109314,10,,5.47,,,,,,
"2023-10-21T15:09:10.16-04:00","TRACKPOINT",40.737342,-74.289626,148.639526,10,,2.41,,,,,,
"2023-10-21T15:09:10.179-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:09:20.159-04:00","TRACKPOINT",40.737316,-74.28974,149.577393,10,,5.62,,,,,,
"2023-10-21T15:09:28.159-04:00","TRACKPOINT",40.737247,-74.289819,149.789062,10,,3.56,,,,,,
"2023-10-21T15:09:35.162-04:00","TRACKPOINT",40.737158,-74.289844,147.832153,10,,5.11,,,,,,
"2023-10-21T15:09:43.169-04:00","TRACKPOINT",40.737113,-74.289954,147.855774,10,,2.02,,,,,,
"2023-10-21T15:09:52.16-04:00","TRACKPOINT",40.737059,-74.290054,147.373779,10,,0.9,,,,,,
"2023-10-21T15:10:02.164-04:00","TRACKPOINT",40.737041,-74.290056,148.460144,10,,1.3,,,,,,
"2023-10-21T15:10:02.18-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:10:11.163-04:00","TRACKPOINT",40.736984,-74.290157,143.116943,10,,5.76,,,,,,
"2023-10-21T15:10:18.161-04:00","TRACKPOINT",40.73692,-74.290252,141.478271,10,,5.22,,,,,,
"2023-10-21T15:10:26.16-04:00","TRACKPOINT",40.73687,-74.290364,140.444946,10,,4.86,,,,,,
"2023-10-21T15:10:34.163-04:00","TRACKPOINT",40.736799,-74.290439,140.46814,10,,4.82,,,,,,
"2023-10-21T15:10:41.163-04:00","TRACKPOINT",40.736726,-74.290532,141.722961,10,,5.18,,,,,,
"2023-10-21T15:10:49.162-04:00","TRACKPOINT",40.736652,-74.290608,141.093994,10,,5.11,,,,,,
"2023-10-21T15:10:57.165-04:00","TRACKPOINT",40.736561,-74.290644,139.746277,10,,3.89,,,,,,
"2023-10-21T15:11:05.161-04:00","TRACKPOINT",40.736463,-74.290671,140.317932,10,,4.86,,,,,,
"2023-10-21T15:11:15.161-04:00","TRACKPOINT",40.736368,-74.290662,141.121216,10,,4.36,,,,,,
"2023-10-21T15:11:22.159-04:00","TRACKPOINT",40.736274,-74.290693,143.045837,10,,5.54,,,,,,
"2023-10-21T15:11:30.167-04:00","TRACKPOINT",40.736182,-74.290746,140.572876,10,,4.9,,,,,,
"2023-10-21T15:11:37.161-04:00","TRACKPOINT",40.736102,-74.290809,141.623779,10,,5.29,,,,,,
"2023-10-21T15:11:46.158-04:00","TRACKPOINT",40.736009,-74.290859,141.21936,10,,4.46,,,,,,
"2023-10-21T15:11:54.162-04:00","TRACKPOINT",40.735923,-74.290935,138.740295,10,,7.45,,,,,,
"2023-10-21T15:12:02.161-04:00","TRACKPOINT",40.735845,-74.290999,137.876221,10,,4.72,,,,,,
"2023-10-21T15:12:09.165-04:00","TRACKPOINT",40.735767,-74.291069,134.398376,10,,4.86,,,,,,
"2023-10-21T15:12:17.158-04:00","TRACKPOINT",40.735689,-74.291147,135.836914,10,,3.74,,,,,,
"2023-10-21T15:12:24.164-04:00","TRACKPOINT",40.735611,-74.291208,137.56958,10,,5.15,,,,,,
"2023-10-21T15:12:31.166-04:00","TRACKPOINT",40.735531,-74.291273,138.797424,10,,4.79,,,,,,
"2023-10-21T15:12:39.162-04:00","TRACKPOINT",40.735446,-74.291323,139.316528,10,,4.82,,,,,,
"2023-10-21T15:12:46.16-04:00","TRACKPOINT",40.735359,-74.291354,139.559082,10,,2.66,,,,,,
"2023-10-21T15:12:54.162-04:00","TRACKPOINT",40.735285,-74.291423,140.734375,10,,4.25,,,,,,
"2023-10-21T15:13:01.166-04:00","TRACKPOINT",40.735219,-74.291511,135.891113,10,,4.07,,,,,,
"2023-10-21T15:13:09.158-04:00","TRACKPOINT",40.735161,-74.291621,133.004028,10,,5.62,,,,,,
"2023-10-21T15:13:17.161-04:00","TRACKPOINT",40.735114,-74.291729,134.612976,10,,2.63,,,,,,
"2023-10-21T15:13:25.159-04:00","TRACKPOINT",40.73507,-74.291836,135.179932,10,,2.45,,,,,,
"2023-10-21T15:13:33.157-04:00","TRACKPOINT",40.735008,-74.291942,136.021484,10,,4.86,,,,,,
"2023-10-21T15:13:38.159-04:00","TRACKPOINT",40.734954,-74.292042,137.465454,10,,6.19,,,,,,
"2023-10-21T15:13:44.159-04:00","TRACKPOINT",40.734911,-74.292151,135.779663,10,,5.69,,,,,,
"2023-10-21T15:13:51.159-04:00","TRACKPOINT",40.73486,-74.292253,135.273132,10,,5.9,,,,,,
"2023-10-21T15:13:59.162-04:00","TRACKPOINT",40.734815,-74.292361,133.532715,10,,5.9,,,,,,
"2023-10-21T15:14:07.158-04:00","TRACKPOINT",40.734833,-74.292481,134.971008,10,,3.92,,,,,,
"2023-10-21T15:14:16.161-04:00","TRACKPOINT",40.734822,-74.2926,132.742188,10,,2.48,,,,,,
"2023-10-21T15:14:26.161-04:00","TRACKPOINT",40.734835,-74.292614,132.901306,10,,0,,,,,,
"2023-10-21T15:14:26.182-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:15:11.166-04:00","TRACKPOINT",40.734794,-74.292726,132.954102,10,,5.98,,,,,,
"2023-10-21T15:15:19.16-04:00","TRACKPOINT",40.734773,-74.292854,133.800598,10,,5.22,,,,,,
"2023-10-21T15:15:26.158-04:00","TRACKPOINT",40.734733,-74.29297,134.125305,10,,4.9,,,,,,
"2023-10-21T15:15:33.161-04:00","TRACKPOINT",40.734679,-74.293073,134.264404,10,,6.62,,,,,,
"2023-10-21T15:15:40.158-04:00","TRACKPOINT",40.734625,-74.29318,131.971741,10,,5.9,,,,,,
"2023-10-21T15:15:48.16-04:00","TRACKPOINT",40.734634,-74.293312,130.88501,10,,4.93,,,,,,
"2023-10-21T15:15:55.158-04:00","TRACKPOINT",40.73463,-74.293438,133.899292,10,,5.04,,,,,,
"2023-10-21T15:16:03.159-04:00","TRACKPOINT",40.73465,-74.293561,133.797363,10,,4.39,,,,,,
"2023-10-21T15:16:10.161-04:00","TRACKPOINT",40.734668,-74.293679,132.778259,10,,4.68,,,,,,
"2023-10-21T15:16:18.163-04:00","TRACKPOINT",40.734695,-74.293799,129.996094,10,,4.68,,,,,,
"2023-10-21T15:16:26.166-04:00","TRACKPOINT",40.734744,-74.293914,132.066528,11,,5.29,,,,,,
"2023-10-21T15:16:36.16-04:00","TRACKPOINT",40.734802,-74.294023,130.165283,10,,4.43,,,,,,
"2023-10-21T15:16:43.163-04:00","TRACKPOINT",40.734863,-74.294127,130.288086,10,,4.97,,,,,,
"2023-10-21T15:16:53.158-04:00","TRACKPOINT",40.734871,-74.294232,129.39679,10,,3.67,,,,,,
"2023-10-21T15:16:53.18-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:17:00.159-04:00","TRACKPOINT",40.73491,-74.29434,131.812622,10,,6.44,,,,,,
"2023-10-21T15:17:08.165-04:00","TRACKPOINT",40.734971,-74.29445,133.611755,10,,5.29,,,,,,
"2023-10-21T15:17:16.159-04:00","TRACKPOINT",40.735034,-74.294555,132.536987,10,,4.54,,,,,,
"2023-10-21T15:17:24.164-04:00","TRACKPOINT",40.735065,-74.294679,131.720215,10,,5.47,,,,,,
"2023-10-21T15:17:32.161-04:00","TRACKPOINT",40.735057,-74.294799,130.695129,10,,5.04,,,,,,
"2023-10-21T15:17:39.166-04:00","TRACKPOINT",40.735092,-74.294914,128.788025,10,,6.05,,,,,,
"2023-10-21T15:17:46.168-04:00","TRACKPOINT",40.735116,-74.29504,126.805908,10,,4.57,,,,,,
"2023-10-21T15:17:53.156-04:00","TRACKPOINT",40.735154,-74.295149,128.29895,10,,2.05,,,,,,
"2023-10-21T15:18:03.164-04:00","TRACKPOINT",40.735167,-74.295144,129.499268,10,,0,,,,,,
"2023-10-21T15:18:03.174-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:19:31.159-04:00","TRACKPOINT",40.735261,-74.295132,130.463989,11,,2.63,,,,,,
"2023-10-21T15:19:41.156-04:00","TRACKPOINT",40.735283,-74.295103,130.729309,10,,0,,,,,,
"2023-10-21T15:19:41.178-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:20:38.162-04:00","TRACKPOINT",40.735194,-74.29513,129.083252,10,,4.64,,,,,,
"2023-10-21T15:20:48.159-04:00","TRACKPOINT",40.735139,-74.295148,126.619873,10,,0,,,,,,
"2023-10-21T15:20:48.18-04:00","IDLE",,,,,,,,,,,,
"2023-10-21T15:21:49.162-04:00","TRACKPOINT",40.735059,-74.295067,131.138,10,,5.15,,,,,,
"2023-10-21T15:21:56.163-04:00","TRACKPOINT",40.734963,-74.29506,131.324707,10,,4.97,,,,,,
"2023-10-21T15:22:03.163-04:00","TRACKPOINT",40.734879,-74.29512,131.23999,10,,4,,,,,,
"2023-10-21T15:22:11.156-04:00","TRACKPOINT",40.734792,-74.295176,132.220642,10,,5.44,,,,,,
